a4_portrait,bytes,dpi,file_name,filename_date_match,filename_identity_match,height,kind,mode,page_count,path,pdf_version,period_end,route,sentinel_count,sha256,status,wellbore,width
True,21231,,15_9_19_A_1980_01_01.pdf,True,True,,ddr_pdf,,1,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1980_01_01.pdf,%PDF-1.4,1980-01-01T00:00:00,digital_pdf,3,fe37cac28d72ddf51ce66ba90a889f47c3f045c0308ce341bf3553e6cd7762ba,valid,15/9-19 A,
True,22111,,15_9_19_A_1997_07_25.pdf,True,True,,ddr_pdf,,1,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_25.pdf,%PDF-1.4,1997-07-25T00:00:00,digital_pdf,3,810abfa77fc888d7401c3f8fcd650839d3d08b7ed2ef1f406271abc76e21f422,valid,15/9-19 A,
True,32932,,15_9_19_A_1997_07_26.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_26.pdf,%PDF-1.4,1997-07-26T00:00:00,digital_pdf,7,a11259c8906129468f73bc87b950a5b6a0bae0be045b1cd49354c3fca9c473db,valid,15/9-19 A,
True,33119,,15_9_19_A_1997_07_27.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_27.pdf,%PDF-1.4,1997-07-27T00:00:00,digital_pdf,2,f93f00ebaf3b0026425ec3fdac924f219d6f3004e7506a73920f23053ffc376f,valid,15/9-19 A,
True,30345,,15_9_19_A_1997_07_28.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_28.pdf,%PDF-1.4,1997-07-28T00:00:00,digital_pdf,3,86f36da81e1e447f76bcab8be5a1114fa4805d31a5973b4c34f179c8f370ade7,valid,15/9-19 A,
True,31115,,15_9_19_A_1997_07_29.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_29.pdf,%PDF-1.4,1997-07-29T00:00:00,digital_pdf,2,e7d9aaceb54609794531504efd9db3d47cd3a1b246e8ad203e76c291e08ca889,valid,15/9-19 A,
True,35579,,15_9_19_A_1997_07_30.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_30.pdf,%PDF-1.4,1997-07-30T00:00:00,digital_pdf,5,9e9dfae3de1f85840060c7c1d5ae709c123834b75af6fdd6e0b694fb0699e2b5,valid,15/9-19 A,
True,33531,,15_9_19_A_1997_07_31.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_31.pdf,%PDF-1.4,1997-07-31T00:00:00,digital_pdf,4,9f9bba154411767a0e61f8fd637964d13b6d9e0a9e305bf531e8cb5702a62445,valid,15/9-19 A,
True,34430,,15_9_19_A_1997_08_01.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_01.pdf,%PDF-1.4,1997-08-01T00:00:00,digital_pdf,4,f124cc42ed96543991eb0441728782a9eff8ade23ac279548bd3bf59fe361f6a,valid,15/9-19 A,
True,33407,,15_9_19_A_1997_08_02.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_02.pdf,%PDF-1.4,1997-08-02T00:00:00,digital_pdf,2,67f67bd649a765b26f2c5dc689b409400be0c8273ea22902d7846a470cc2cc0c,valid,15/9-19 A,
True,32251,,15_9_19_A_1997_08_03.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_03.pdf,%PDF-1.4,1997-08-03T00:00:00,digital_pdf,2,9bcd3c088082065bb386ebf9e7aaf51f91ef643511b52616feccabc3b6e9feb1,valid,15/9-19 A,
True,34776,,15_9_19_A_1997_08_04.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_04.pdf,%PDF-1.4,1997-08-04T00:00:00,digital_pdf,7,65e56352e410f3f2f23887ca12ace5ce67fee02a28dfc17653890dd6c7192adb,valid,15/9-19 A,
True,33929,,15_9_19_A_1997_08_05.pdf,True,True,,ddr_pdf,,2,C:\Users\qurba\OneDrive\Documents\eiGroup_technical_ai_engineer_task\ddr_ai_system\data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_05.pdf,%PDF-1.4,1997-08-05T00:00:00,digital_pdf,5,5123cf203021e03d86f74ee2effce621f5dad368ec7e38e20d15c509f1e2bbc5,valid,15/9-19 A,
