path,status,sha256,duration_seconds,error
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1980_01_01.pdf,skipped_unchanged,fe37cac28d72ddf51ce66ba90a889f47c3f045c0308ce341bf3553e6cd7762ba,,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_25.pdf,complete,810abfa77fc888d7401c3f8fcd650839d3d08b7ed2ef1f406271abc76e21f422,2.4392,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_26.pdf,complete,a11259c8906129468f73bc87b950a5b6a0bae0be045b1cd49354c3fca9c473db,2.0784,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_27.pdf,complete,f93f00ebaf3b0026425ec3fdac924f219d6f3004e7506a73920f23053ffc376f,2.9233,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_28.pdf,complete,86f36da81e1e447f76bcab8be5a1114fa4805d31a5973b4c34f179c8f370ade7,2.0847,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_29.pdf,complete,e7d9aaceb54609794531504efd9db3d47cd3a1b246e8ad203e76c291e08ca889,2.5062,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_30.pdf,complete,9e9dfae3de1f85840060c7c1d5ae709c123834b75af6fdd6e0b694fb0699e2b5,2.4468,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_07_31.pdf,complete,9f9bba154411767a0e61f8fd637964d13b6d9e0a9e305bf531e8cb5702a62445,2.2158,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_01.pdf,complete,f124cc42ed96543991eb0441728782a9eff8ade23ac279548bd3bf59fe361f6a,3.0332,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_02.pdf,complete,67f67bd649a765b26f2c5dc689b409400be0c8273ea22902d7846a470cc2cc0c,2.6183,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_03.pdf,complete,9bcd3c088082065bb386ebf9e7aaf51f91ef643511b52616feccabc3b6e9feb1,2.5381,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_04.pdf,complete,65e56352e410f3f2f23887ca12ace5ce67fee02a28dfc17653890dd6c7192adb,2.6211,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_05.pdf,complete,5123cf203021e03d86f74ee2effce621f5dad368ec7e38e20d15c509f1e2bbc5,2.3341,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_06.pdf,complete,7766aacec8260daee250754db7c369c19b87d6679e592a5b981a1f1d4f741b6f,2.7956,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_07.pdf,complete,b363ed930eaecef9b979c96ca21a7ea47d261afaefb813c6f16050ec84e63670,2.7103,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_08.pdf,complete,df68dc0bc771eb01ae997b0a06d91c723b1e29df2ed387757619b099829f5ca8,2.5426,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_09.pdf,complete,e875842e9d22471dde08ff5e3a61b13a14dddff16d040283c304f838b7c04863,2.7076,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_10.pdf,complete,2ca35663a339a97a9dbf42e00dbaa821e6ca0c9e0ef21a2fd3381ca0f12eaa48,2.6171,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_11.pdf,complete,731883d36b35452c7d30ee0c5be4a27599eb232a3fde7ec3d3a74933c5968e23,3.0144,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_12.pdf,complete,d963f71c9964f45caa95fa8d6107f5c18a8c48435e8800eab0f48accab516307,2.6183,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_13.pdf,complete,50409f8fe7bee59e508b449084d615d5ba30c93150603d5e47a27df73094ef72,2.9864,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_14.pdf,complete,af94b1fece1f1b3015d622596cc89e33a322ad5fc87d573c4c15113a9010eb20,2.5983,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_15.pdf,complete,07a209199487f8fd3eaf50d3d7d284bee45fe60b3ff7121aabb39e9b010eec0d,5.3678,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_16.pdf,complete,45c2d1ba86388c76891a43f6b9ad9fdbd1a04dd057d969bd39d626fa202f26bf,2.8088,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_17.pdf,complete,0157c496338c6d20120444ace318b97f0dd4d894746df2b58092963870cdaadd,2.795,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_18.pdf,complete,a8101417c569509ea9636175c8665ce6bbfe2757a250fe3bf75b680b08c0bf54,2.7326,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_19.pdf,complete,65cbd2f872ebf1864eb7ed9c4a03f42dbcb48e4d9f9216cd8048a874beca4c12,3.2491,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_20.pdf,complete,3d14c87817b8cce4af03771fd25edcfc0eae59eb7d2988d9681289b600dd159c,2.5809,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_21.pdf,complete,436105b3ce27d23d90160ca86d82735f6909c3445b5cf210713f122387a892f8,2.3871,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_22.pdf,complete,366de3195fad82c99b1ddbc4842a9698cbf687b51e76fe6110bf19552879d47a,2.416,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_23.pdf,complete,755b736e47f05c7e736e2f85a79d8f06acccb21b2c26e3aa38bd1cde88e3fb19,1.5092,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_24.pdf,complete,92f9dd27e0bbfc318fa73a0935ecb86ec346f3b00282c49669568ab823730740,1.8861,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_25.pdf,complete,c9889b1b5d8124057391cb20a417897d06b528ce84403ceb6f4be272e9861d63,1.7941,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_26.pdf,complete,9f84879f4ab84468de664f73d186cc2352926faeb8a42691db2c48b54c04bb9b,2.727,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_27.pdf,complete,f8ab51569ac44a51725893a1c174ca00ce95d38943c4fb34cab57cd7b28a2299,1.9017,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_28.pdf,complete,ad15a729a781aa4ef1c4fd639fbb819cbcb855768359f1eae18029486137a853,2.1143,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_29.pdf,complete,99a7bd5b8f37d928b6c644d15c02fd5e78a9c17034b94614e87a197175fcb807,2.4127,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_30.pdf,complete,ec83b6016e8ba677b46a7dad8f866829091ce12421e1ecea5977701c2e5055bb,1.9446,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_08_31.pdf,complete,f919b18269e40b764ede39f33c6e90dbe39f98bc3bc73f429921965a79c23cb1,2.2614,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_01.pdf,complete,c2902e3445220dfb1f6b762153eb8b1a65c5158e45d3a2386b7c2256b737de87,2.1221,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_02.pdf,complete,a01b19c69af1112ac2178d4715934c73419ffe558e02a949d76b8d9f4564f6b9,2.0425,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_03.pdf,complete,ef7a821571eea9c96d54c0d5fcf9085af1f465973e25784f1e540fada56623c4,3.4972,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_04.pdf,complete,b3eb257d5097d157b2ae6052321b033060ff98f3f9042b77173da22ec5c95ce3,0.9276,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_05.pdf,complete,d034e2f8c9dbf14295c0b00c1d1ece9dfa1889763ef12075aff05ba1f4689651,0.7187,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_06.pdf,complete,ed9023c01c4f34d804d60472ef3966707342cb18f9c7ebd2693aae74a0cd0eae,0.887,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_07.pdf,complete,309d64f0d826b2d73493afe7b207217244590c317a7843f32cc1caf257c9ba1e,0.9821,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_08.pdf,complete,3e7707a4eac23fd500dc6e886404d801d9c5ff8e8dcd5cf3b9c482a1f912c07e,0.7754,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_09.pdf,complete,9de9ce66b91ed87d388dd663a92b59a2528286115a3793772f798953bbe2d866,1.6654,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_10.pdf,complete,643edaff36bc7ea9c1bde4fef8538c2b4850e7600364da5299b4c0e617d71a92,1.6351,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_11.pdf,complete,9c82dd70dbabd1fc398b4b0ea7c0f59de9d9d50f096e0e8417c608d8fefe652f,2.1393,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_12.pdf,complete,c2849881eb8c2dfb53a2b23e1de0d1ab135cdbab6f27b90d4b540ac7b88fac7c,1.4506,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_13.pdf,complete,a077d0fd29b7b323ff9ee9e7282e2222b2cb5decbfc15127a76ec83c4cfb5f29,1.2894,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_14.pdf,complete,8f7d4b4b7f9f79d775a98cbd1a7e02de6d2cb9cb236024b9ca1e80b4718dd2bc,1.1331,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_15.pdf,complete,b58ea791c6946748ad805e98ed856e70228869b26e9945128f1837aa69c3e111,1.9066,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_16.pdf,complete,ecaf1d372c65db87ece519f89da420d09d4300d70347fda9e844288908105f4e,1.4982,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_17.pdf,complete,08388eb7df3e4023cbed8d43293b85e984b5cb9f07529d3fcfb67b5c21dce05a,1.4534,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_18.pdf,complete,b4ca607c43b8881ad9ac6073437a6f16e0fb9a48da8501b38d9d5de55cc664cd,0.661,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_19.pdf,complete,d65aaee31fd0b82b16dc06df5da11a4344f79469312aad80f03b516daac26c30,1.3142,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_20.pdf,complete,011b901e9fb421d6c7415b77a17161ee81ab6d9762124b0e6bf58eca6b5f7333,1.0563,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_21.pdf,complete,b0361354458c9d8549038880be365016506e5b35281153f7a724984be7fbbecd,1.5522,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_22.pdf,complete,53007e0a2aff2e3c0a5173f1a5e9353072f8c262e1b00a545795d2a0fdc0af84,0.8394,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_23.pdf,complete,5f631872cac09180340a03a9445823b34172635a44538bf4bd1e95908f86dcc7,1.4674,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_24.pdf,complete,b8d8d8c77379bda5a08a8a0f7e771eeefe1d552b2b90386434355c442437875d,1.5535,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_25.pdf,complete,78127fbd99f147a4ad90ddb9c1401d561a378c68105f7602b6b7772e9e70ee7c,0.7351,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_26.pdf,complete,1f1249dfc4c817a8a34e17da664cd651fb2bbdfd760d5b4663798f8c85bd62e7,1.1537,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_27.pdf,complete,41f2234a7b9049343901c2cd9d2c03e1e4d05cd6c30e0566f4e118cdd1035419,0.915,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_28.pdf,complete,291cfe4c229582de8813dded4f985910dc220964865a39a38456ede29025798c,0.7719,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_29.pdf,complete,0f9200c5f6903147aa4b611141c481d12f6557491044db84d8df84f3c97819c4,1.1517,
data\raw\ddr_pdfs\PDF_version_1000\15_9_19_A_1997_09_30.pdf,complete,8876c2d2638ee1ee540c6b6533b0d77f6e8ac01ca04eba1d938282ac5b1c49c9,0.948,
